genome_name	sgb_id	usgb	study	sample_name	genome_size	n_fifty	number_contigs	completeness	contamination	assigned_species	assigned_genus	assigned_family	assigned_order	assigned_class	assigned_phylum	assigned_kingdom	closest_species	closest_genus	closest_family	closest_order	closest_class	closest_phylum	closest_kingdom	average_distance	sequence_url	annotations_url	uniref_url
BackhedF_2015__SID10_B__bin.2	10068	No	BackhedF_2015	SID10_B	4682779	146418	54	99.01	0.08	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID10_B__bin.2.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID10_B__bin.2.txt
BackhedF_2015__SID10_M__bin.47	10068	No	BackhedF_2015	SID10_M	4649076	160009	48	98.10	0.14	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID10_M__bin.47.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID10_M__bin.47.txt
BackhedF_2015__SID128_4M__bin.13	10068	No	BackhedF_2015	SID128_4M	4653854	79572	113	97.84	0.33	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID128_4M__bin.13.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID128_4M__bin.13.txt
BackhedF_2015__SID128_4M__bin.14	10114	No	BackhedF_2015	SID128_4M	5191658	19855	422	56.90	3.45	Klebsiella variicola	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10114/BackhedF_2015__SID128_4M__bin.14.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10114.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10114/BackhedF_2015__SID128_4M__bin.14.txt
BackhedF_2015__SID128_B__bin.7	10068	No	BackhedF_2015	SID128_B	4650032	63858	134	99.67	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID128_B__bin.7.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID128_B__bin.7.txt
BackhedF_2015__SID128_M__bin.24	10068	No	BackhedF_2015	SID128_M	4497873	13705	470	97.67	0.98	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID128_M__bin.24.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID128_M__bin.24.txt
BackhedF_2015__SID12_12M__bin.2	10133	No	BackhedF_2015	SID12_12M	4585280	23261	315	99.55	1.29	Enterobacter kobei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.00	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10133/BackhedF_2015__SID12_12M__bin.2.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10133.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10133/BackhedF_2015__SID12_12M__bin.2.txt
BackhedF_2015__SID12_4M__bin.5	10068	No	BackhedF_2015	SID12_4M	2721228	117456	39	61.53	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID12_4M__bin.5.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID12_4M__bin.5.txt
BackhedF_2015__SID130_12M__bin.32	10068	No	BackhedF_2015	SID130_12M	2320669	183012	24	51.91	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID130_12M__bin.32.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID130_12M__bin.32.txt
BackhedF_2015__SID130_4M__bin.4	10068	No	BackhedF_2015	SID130_4M	4413481	30813	239	97.90	0.93	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID130_4M__bin.4.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID130_4M__bin.4.txt
BackhedF_2015__SID130_B__bin.1	10068	No	BackhedF_2015	SID130_B	4359404	87020	84	96.69	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID130_B__bin.1.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID130_B__bin.1.txt
BackhedF_2015__SID130_M__bin.26	10068	No	BackhedF_2015	SID130_M	4515871	37180	183	99.12	0.10	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID130_M__bin.26.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID130_M__bin.26.txt
BackhedF_2015__SID133_4M__bin.11	10068	No	BackhedF_2015	SID133_4M	4311266	8459	671	90.23	1.15	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID133_4M__bin.11.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID133_4M__bin.11.txt
BackhedF_2015__SID133_B__bin.2	10068	No	BackhedF_2015	SID133_B	4896203	132969	65	97.91	0.78	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID133_B__bin.2.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID133_B__bin.2.txt
BackhedF_2015__SID133_B__bin.5	10114	No	BackhedF_2015	SID133_B	5023535	38388	226	58.97	0.00	Klebsiella variicola	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10114/BackhedF_2015__SID133_B__bin.5.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10114.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10114/BackhedF_2015__SID133_B__bin.5.txt
BackhedF_2015__SID137_12M__bin.5	10068	No	BackhedF_2015	SID137_12M	2226954	102243	33	50.11	0.10	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID137_12M__bin.5.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID137_12M__bin.5.txt
BackhedF_2015__SID137_4M__bin.8	10068	No	BackhedF_2015	SID137_4M	4660678	49657	170	96.33	0.17	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID137_4M__bin.8.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID137_4M__bin.8.txt
BackhedF_2015__SID137_B__bin.1	10068	No	BackhedF_2015	SID137_B	4438737	16089	390	96.76	0.35	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID137_B__bin.1.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID137_B__bin.1.txt
BackhedF_2015__SID137_M__bin.20	10068	No	BackhedF_2015	SID137_M	4373879	15787	414	96.88	1.02	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID137_M__bin.20.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID137_M__bin.20.txt
BackhedF_2015__SID150_4M__bin.4	10130	No	BackhedF_2015	SID150_4M	3463571	5069	824	50.00	1.72	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10130/BackhedF_2015__SID150_4M__bin.4.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10130.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10130/BackhedF_2015__SID150_4M__bin.4.txt
BackhedF_2015__SID157_4M__bin.3	10068	No	BackhedF_2015	SID157_4M	4792710	89715	75	99.04	0.19	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID157_4M__bin.3.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID157_4M__bin.3.txt
BackhedF_2015__SID157_B__bin.1	10068	No	BackhedF_2015	SID157_B	4791630	173995	45	99.63	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID157_B__bin.1.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID157_B__bin.1.txt
BackhedF_2015__SID172_4M__bin.12	10068	No	BackhedF_2015	SID172_4M	4610886	150214	59	99.32	0.21	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID172_4M__bin.12.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID172_4M__bin.12.txt
BackhedF_2015__SID172_B__bin.15	10068	No	BackhedF_2015	SID172_B	4596610	60559	105	98.04	0.12	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID172_B__bin.15.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID172_B__bin.15.txt
BackhedF_2015__SID179_4M__bin.1	10068	No	BackhedF_2015	SID179_4M	2959679	3762	852	57.76	0.00	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID179_4M__bin.1.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID179_4M__bin.1.txt
BackhedF_2015__SID179_B__bin.6	10068	No	BackhedF_2015	SID179_B	3566590	225641	20	75.73	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID179_B__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID179_B__bin.6.txt
BackhedF_2015__SID179_M__bin.27	10068	No	BackhedF_2015	SID179_M	4062425	6557	769	89.82	1.64	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID179_M__bin.27.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID179_M__bin.27.txt
